Property Name,date,price
Airyland Room,2025-05-04,113200
Airyland Room,2025-05-05,123600
Airyland Room,2025-05-05,106000
Airyland Room,2025-05-05,88300
Airyland Room,2025-05-06,111200
Airyland Room,2025-05-06,95400
Airyland Room,2025-05-06,79500
Airyland Room,2025-05-07,111200
Airyland Room,2025-05-07,95400
Airyland Room,2025-05-07,79500
Airyland Room,2025-05-08,111200
Airyland Room,2025-05-08,95400
Airyland Room,2025-05-08,79500
Airyland Room,2025-05-09,123700
Airyland Room,2025-05-09,106100
Airyland Room,2025-05-09,88400
Airyland Room,2025-05-10,151500
Airyland Room,2025-05-10,129900
Airyland Room,2025-05-10,108300
Airyland Room,2025-05-11,158600
Airyland Room,2025-05-11,136000
Airyland Room,2025-05-11,113300
Airyland Room,2025-05-12,123700
Airyland Room,2025-05-12,106100
Airyland Room,2025-05-12,88400
Airyland Room,2025-05-13,111200
Airyland Room,2025-05-13,95400
Airyland Room,2025-05-13,79500
Airyland Room,2025-05-14,111200
Airyland Room,2025-05-14,95400
Airyland Room,2025-05-14,79500
Airyland Room,2025-05-15,111500
Airyland Room,2025-05-15,95600
Airyland Room,2025-05-15,79700
Airyland Room,2025-05-16,123800
Airyland Room,2025-05-16,106200
Airyland Room,2025-05-16,88500
Airyland Room,2025-05-17,151800
Airyland Room,2025-05-17,130200
Airyland Room,2025-05-17,108500
Airyland Room,2025-05-18,158800
Airyland Room,2025-05-18,136200
